ano,estado,area
1988,acre,620
1988,amazonas,1510
1988,amapa,60
1988,maranhao,2450
1988,mato_grosso,5140
1988,para,6990
1988,rondonia,2340
1988,roraima,290
1988,tocantins,1650
1989,acre,540
1989,amazonas,1180
1989,amapa,130
1989,maranhao,1420
1989,mato_grosso,5960
1989,para,5750
1989,rondonia,1430
1989,roraima,630
1989,tocantins,730
1990,acre,550
1990,amazonas,520
1990,amapa,250
1990,maranhao,1100
1990,mato_grosso,4020
1990,para,4890
1990,rondonia,1670
1990,roraima,150
1990,tocantins,580
1991,acre,380
1991,amazonas,980
1991,amapa,410
1991,maranhao,670
1991,mato_grosso,2840
1991,para,3780
1991,rondonia,1110
1991,roraima,420
1991,tocantins,440
1992,acre,400
1992,amazonas,799
1992,amapa,36
1992,maranhao,1135
1992,mato_grosso,4674
1992,para,3787
1992,rondonia,2265
1992,roraima,281
1992,tocantins,409
1993,acre,482
1993,amazonas,370
1993,amapa,0
1993,maranhao,372
1993,mato_grosso,6220
1993,para,4284
1993,rondonia,2595
1993,roraima,240
1993,tocantins,333
1994,acre,482
1994,amazonas,370
1994,amapa,0
1994,maranhao,372
1994,mato_grosso,6220
1994,para,4284
1994,rondonia,2595
1994,roraima,240
1994,tocantins,333
1995,acre,1208
1995,amazonas,2114
1995,amapa,9
1995,maranhao,1745
1995,mato_grosso,10391
1995,para,7845
1995,rondonia,4730
1995,roraima,220
1995,tocantins,797
1996,acre,433
1996,amazonas,1023
1996,amapa,0
1996,maranhao,1061
1996,mato_grosso,6543
1996,para,6135
1996,rondonia,2432
1996,roraima,214
1996,tocantins,320
1997,acre,358
1997,amazonas,589
1997,amapa,18
1997,maranhao,409
1997,mato_grosso,5271
1997,para,4139
1997,rondonia,1986
1997,roraima,184
1997,tocantins,273
1998,acre,536
1998,amazonas,670
1998,amapa,30
1998,maranhao,1012
1998,mato_grosso,6466
1998,para,5829
1998,rondonia,2041
1998,roraima,223
1998,tocantins,576
1999,acre,441
1999,amazonas,720
1999,amapa,0
1999,maranhao,1230
1999,mato_grosso,6963
1999,para,5111
1999,rondonia,2358
1999,roraima,220
1999,tocantins,216
2000,acre,547
2000,amazonas,612
2000,amapa,0
2000,maranhao,1065
2000,mato_grosso,6369
2000,para,6671
2000,rondonia,2465
2000,roraima,253
2000,tocantins,244
2001,acre,419
2001,amazonas,634
2001,amapa,7
2001,maranhao,958
2001,mato_grosso,7703
2001,para,5237
2001,rondonia,2673
2001,roraima,345
2001,tocantins,189
2002,acre,883
2002,amazonas,885
2002,amapa,0
2002,maranhao,1085
2002,mato_grosso,7892
2002,para,7510
2002,rondonia,3099
2002,roraima,84
2002,tocantins,212
2003,acre,1078
2003,amazonas,1558
2003,amapa,25
2003,maranhao,993
2003,mato_grosso,10405
2003,para,7145
2003,rondonia,3597
2003,roraima,439
2003,tocantins,156
2004,acre,728
2004,amazonas,1232
2004,amapa,46
2004,maranhao,755
2004,mato_grosso,11814
2004,para,8870
2004,rondonia,3858
2004,roraima,311
2004,tocantins,158
2005,acre,592
2005,amazonas,775
2005,amapa,33
2005,maranhao,922
2005,mato_grosso,7145
2005,para,5899
2005,rondonia,3244
2005,roraima,133
2005,tocantins,271
2006,acre,398
2006,amazonas,788
2006,amapa,30
2006,maranhao,674
2006,mato_grosso,4333
2006,para,5659
2006,rondonia,2049
2006,roraima,231
2006,tocantins,124
2007,acre,184
2007,amazonas,610
2007,amapa,39
2007,maranhao,631
2007,mato_grosso,2678
2007,para,5526
2007,rondonia,1611
2007,roraima,309
2007,tocantins,63
2008,acre,254
2008,amazonas,604
2008,amapa,100
2008,maranhao,1271
2008,mato_grosso,3258
2008,para,5607
2008,rondonia,1136
2008,roraima,574
2008,tocantins,107
2009,acre,167
2009,amazonas,405
2009,amapa,70
2009,maranhao,828
2009,mato_grosso,1049
2009,para,4281
2009,rondonia,482
2009,roraima,121
2009,tocantins,61
2010,acre,259
2010,amazonas,595
2010,amapa,53
2010,maranhao,712
2010,mato_grosso,871
2010,para,3770
2010,rondonia,435
2010,roraima,256
2010,tocantins,49
2011,acre,280
2011,amazonas,502
2011,amapa,66
2011,maranhao,396
2011,mato_grosso,1120
2011,para,3008
2011,rondonia,865
2011,roraima,141
2011,tocantins,40
2012,acre,305
2012,amazonas,523
2012,amapa,27
2012,maranhao,269
2012,mato_grosso,757
2012,para,1741
2012,rondonia,773
2012,roraima,124
2012,tocantins,52
2013,acre,221
2013,amazonas,583
2013,amapa,23
2013,maranhao,403
2013,mato_grosso,1139
2013,para,2346
2013,rondonia,932
2013,roraima,170
2013,tocantins,74
2014,acre,309
2014,amazonas,500
2014,amapa,31
2014,maranhao,257
2014,mato_grosso,1075
2014,para,1887
2014,rondonia,684
2014,roraima,219
2014,tocantins,50
2015,acre,264
2015,amazonas,712
2015,amapa,25
2015,maranhao,209
2015,mato_grosso,1601
2015,para,2153
2015,rondonia,1030
2015,roraima,156
2015,tocantins,57
2016,acre,372
2016,amazonas,1129
2016,amapa,17
2016,maranhao,258
2016,mato_grosso,1489
2016,para,2992
2016,rondonia,1376
2016,roraima,202
2016,tocantins,58
2017,acre,257
2017,amazonas,1001
2017,amapa,24
2017,maranhao,265
2017,mato_grosso,1561
2017,para,2433
2017,rondonia,1243
2017,roraima,132
2017,tocantins,31
2018,acre,444
2018,amazonas,1045
2018,amapa,24
2018,maranhao,253
2018,mato_grosso,1490
2018,para,2744
2018,rondonia,1316
2018,roraima,195
2018,tocantins,25
2019,acre,682
2019,amazonas,1434
2019,amapa,32
2019,maranhao,237
2019,mato_grosso,1702
2019,para,4172
2019,rondonia,1257
2019,roraima,590
2019,tocantins,23
2020,acre,706
2020,amazonas,1512
2020,amapa,24
2020,maranhao,336
2020,mato_grosso,1779
2020,para,4899
2020,rondonia,1273
2020,roraima,297
2020,tocantins,25
2021,acre,889
2021,amazonas,2306
2021,amapa,17
2021,maranhao,350
2021,mato_grosso,2213
2021,para,5238
2021,rondonia,1673
2021,roraima,315
2021,tocantins,37
2022,acre,847
2022,amazonas,2607
2022,amapa,6
2022,maranhao,282
2022,mato_grosso,1906
2022,para,4141
2022,rondonia,1512
2022,roraima,240
2022,tocantins,27
